Costal,Blue,Green,Red,NIR,SWIR1,SWIR2,Longitude,Latitude,Target,Prediction
9788.0,8890.0,7971.0,7583.0,10538.0,9671.0,7593.0,-76.42597001405747,3.1697025723914574,cana,cana
9359.0,8381.0,8551.0,6402.0,21673.0,9802.0,6359.0,-76.32627235587803,3.203481630442915,cana,cana
10365.0,9527.0,8939.0,8898.0,13518.0,13216.0,9765.0,-76.41693459422297,3.175005930310603,cana,cana
9635.0,8609.0,8035.0,6836.0,17903.0,9732.0,6432.0,-76.47742346365827,3.1925567022584667,cana,cana
9901.0,9051.0,8921.0,9427.0,22209.0,16516.0,10172.0,-76.30824348984156,3.2486830276570053,cana,cana
9472.0,8561.0,8113.0,6903.0,21020.0,12813.0,8520.0,-76.33620191806176,3.158019692213961,cana,cana
9925.0,8949.0,8736.0,7676.0,20810.0,12832.0,8490.0,-76.46614706049431,3.2350348065796837,cana,cana
9800.0,8913.0,8765.0,8384.0,17085.0,12387.0,8823.0,-76.32808559949765,3.143649218330495,cana,cana
10984.0,10169.0,9547.0,8747.0,15690.0,10523.0,8023.0,-76.55151604850991,3.1002010920576506,cana,cana
10218.0,9321.0,9600.0,8479.0,20398.0,15573.0,9789.0,-76.47447272321668,3.1098079775031593,cana,cana
10716.0,9848.0,9648.0,9189.0,19158.0,12025.0,9067.0,-76.41609077279524,3.248265632903925,cana,cana
10716.0,10140.0,9763.0,9742.0,14510.0,12989.0,10076.0,-76.38720238778191,3.2457282439440984,cana,cana
9945.0,8980.0,8374.0,7485.0,17326.0,10313.0,7089.0,-76.43825754300475,3.1738910440860013,cana,cana
9822.0,8855.0,8137.0,7041.0,19152.0,10918.0,7282.0,-76.36106602656753,3.181050706317602,cana,cana
9802.0,8898.0,8222.0,7210.0,20584.0,11970.0,8077.0,-76.36320686525472,3.166802821631074,cana,cana
10860.0,10032.0,9453.0,8799.0,18732.0,13690.0,9452.0,-76.36153093449022,3.1233915106118633,cana,cana
9862.0,8928.0,8215.0,6981.0,19110.0,9182.0,6500.0,-76.33971682347851,3.1624922048335775,cana,cana
10103.0,9367.0,9224.0,8638.0,17144.0,14912.0,10931.0,-76.35906929496065,3.2022174473043075,cana,cana
9406.0,8457.0,7457.0,6882.0,9425.0,7618.0,6434.0,-76.42758345192684,3.16522344669323,cana,cana
10115.0,9402.0,9353.0,8671.0,22945.0,14361.0,8899.0,-76.3937588277942,3.10218524142223,cana,cana
16602.0,15915.0,15312.0,15150.0,19205.0,13777.0,11885.0,-76.52517841603779,3.084367604824213,cana,cana
9866.0,8964.0,8348.0,7277.0,19792.0,11904.0,7916.0,-76.36415679006703,3.1707359105881605,cana,cana
10463.0,9712.0,9554.0,10212.0,18426.0,12498.0,9518.0,-76.44790446553888,3.2198669769238406,cana,cana
12598.0,12204.0,11566.0,12116.0,14048.0,14211.0,11505.0,-76.53398668040252,3.1098584084464105,cana,cana
10144.0,9209.0,8884.0,8218.0,18553.0,13583.0,9382.0,-76.40525183302975,3.218570299598979,cana,cana
10372.0,9531.0,9282.0,8352.0,20145.0,13375.0,9211.0,-76.35028329818226,3.1924610341622888,cana,cana
10147.0,9295.0,9051.0,8543.0,16264.0,11401.0,8218.0,-76.23648861407172,3.1833790323875153,cana,cana
12040.0,11173.0,10642.0,9978.0,14879.0,10237.0,8589.0,-76.5570202204667,3.080522911257761,cana,cana
10231.0,9469.0,9039.0,8475.0,14653.0,11988.0,8764.0,-76.47583151203945,3.1164534403257456,cana,cana
10186.0,9301.0,8759.0,8157.0,16257.0,14553.0,10256.0,-76.48150261531354,3.2135781151055802,cana,cana
10230.0,9297.0,9040.0,8131.0,15754.0,10504.0,7948.0,-76.36276769495613,3.1404839703630096,cana,cana
9721.0,8793.0,8480.0,7444.0,18072.0,11994.0,8101.0,-76.30177133740584,3.2541182372096773,cana,cana
10139.0,9305.0,9193.0,8740.0,18414.0,13593.0,9269.0,-76.42333404157978,3.2156961719205834,cana,cana
10014.0,9135.0,8552.0,8051.0,15544.0,12640.0,9044.0,-76.43273429960486,3.1813602157962877,cana,cana
11698.0,10886.0,9901.0,9383.0,16347.0,13009.0,9681.0,-76.37189054016699,3.098279622443935,cana,cana
10136.0,9236.0,9129.0,7634.0,7530.0,7417.0,5682.0,-76.48018346099214,3.0429193412359794,cana,cana
10972.0,10412.0,11142.0,11494.0,17219.0,17557.0,13984.0,-76.37251303383795,3.262842342344753,cana,cana
10909.0,10165.0,9865.0,9635.0,19314.0,13623.0,9061.0,-76.38158744817802,3.1856359500410742,cana,cana
9491.0,8587.0,8320.0,7355.0,21270.0,13090.0,8866.0,-76.33320850187211,3.2437661746490183,cana,cana
10923.0,10233.0,9992.0,9874.0,13035.0,11814.0,9834.0,-76.54113980552384,3.110390563783336,cana,cana
9908.0,9053.0,8744.0,8787.0,15653.0,13917.0,9373.0,-76.33312034571155,3.2793114526176894,cana,cana
10355.0,9562.0,9397.0,9392.0,18897.0,14506.0,10487.0,-76.40141918195278,3.1792327913357727,cana,cana
9793.0,8991.0,8639.0,8151.0,17110.0,13997.0,10465.0,-76.2478901578887,3.235735101004861,cana,cana
